Industry,Process,Location,Year,Value
Port,H2Liq,Antofagasta,2035,0.0
Port,H2Liq,Antofagasta,2040,0.0
Port,H2Liq,Antofagasta,2045,0.0
Port,H2Liq,Antofagasta,2050,0.0
Port,H2Eva,Hamburg,2030,0.0
Port,H2Eva,Hamburg,2035,0.0
Port,H2Eva,Hamburg,2040,0.0
Port,H2Eva,Hamburg,2045,0.0
Port,H2Eva,Hamburg,2050,0.0
Port,H2Eva,Antofagasta,2030,0.0
Port,H2Eva,Antofagasta,2035,0.0
Port,H2Eva,Antofagasta,2040,0.0
Port,H2Eva,Antofagasta,2045,0.0
Port,H2Eva,Antofagasta,2050,0.0
