Sector,Item  1,Process ,Status,Year,Parameter,Unit,Fichtner_Value,Source,Other_Value,Source,Description,Comment
Aviation,Fuel,HEFA,,2045,LCOF,USD / MJ,,,0.023,,,
Aviation,Fuel,HEFA,,2050,LCOF,USD / MJ,,,0.021,,,
Aviation,Fuel,Jet A,,2020,LCOF,USD / MJ,,,0.005,,,
Aviation,Fuel,Jet A,,2025,LCOF,USD / MJ,,,0.0055,,,
Aviation,Fuel,Jet A,,2030,LCOF,USD / MJ,,,0.017,,,
Aviation,Fuel,Jet A,,2035,LCOF,USD / MJ,,,0.018,,,
Aviation,Fuel,Jet A,,2040,LCOF,USD / MJ,,,0.019,,,
Aviation,Fuel,Jet A,,2045,LCOF,USD / MJ,,,0.021,,,
Aviation,Fuel,Jet A,,2050,LCOF,USD / MJ,,,0.022,,,
Aviation,Fuel,E-Kerosene,USA,2030,LCOF,EUR/t Kerosene eq.,,,2150,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://lbst.de/wp-content/uploads/2023/12/DA_E-SAF_Report_final_2023_12_04.pdf&ved=2ahUKEwjf-9eTi5yHAxX977sIHSVHAU4QFnoECDAQAQ&usg=AOvVaw3-B1voK-tY8Vye6Gtt21zI,Fuel costs incl. Costs for Supply infrastrucutre and supply to the EU,
Aviation,Fuel,E-Kerosene,USA,2040,LCOF,EUR/t Kerosene eq.,,,1860,,,
Aviation,Fuel,E-Kerosene,USA,2050,LCOF,EUR/t Kerosene eq.,,,2020,,,
Aviation,Fuel,E-Kerosene,Spain,2030,LCOF,EUR/t Kerosene eq.,,,2190,,,
Aviation,Fuel,E-Kerosene,Spain,2040,LCOF,EUR/t Kerosene eq.,,,1880,,,
Aviation,Fuel,E-Kerosene,Spain,2050,LCOF,EUR/t Kerosene eq.,,,2030,,,
Aviation,Fuel,E-Kerosene,Norway,2030,LCOF,EUR/t Kerosene eq.,,,3130,,,
Aviation,Fuel,E-Kerosene,Norway,2040,LCOF,EUR/t Kerosene eq.,,,2650,,,
Aviation,Fuel,E-Kerosene,Norway,2050,LCOF,EUR/t Kerosene eq.,,,2860,,,
Aviation,Fuel,FT,,,Hydrogen (Stichiometry),,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cement,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
